Setpoint_X,Setpoint_Y,INE,ISW,ISE,INW,ONE,ONW,OSE,OSW,CIR
184,184,6400,5869,6805,6751,763,746,717,720,0
184,286,6434,5822,6856,6720,778,745,717,720,0
286,286,6437,5804,6861,6725,779,746,717,720,0
286,184,6464,5801,6870,6706,779,745,717,720,0
388,184,6498,5787,6862,6743,779,745,717,720,0
491,184,6528,5780,6823,6820,779,745,717,720,0
491,286,6517,5768,6775,6805,778,746,717,720,0
388,286,6510,5917,6614,6839,777,745,717,720,0
388,388,6561,5845,6634,6733,779,746,717,720,0
491,388,6596,5843,6641,6726,779,746,718,721,0
491,491,6529,5874,6609,6747,779,746,717,720,0
388,491,6530,5854,6677,6730,779,745,717,720,0
286,491,6477,5867,6677,6765,778,745,717,720,0
286,388,6462,5827,6801,6740,778,746,717,720,0
184,388,6442,5805,6849,6734,778,745,717,720,0
184,491,6398,5767,6905,6725,779,746,717,720,0
184,593,6375,5741,6962,6721,779,746,717,720,0
286,593,6348,5735,6962,6745,779,745,717,720,0
286,695,6390,5762,6928,6716,779,746,717,720,0
184,695,6310,5825,6849,6718,779,745,717,720,0
184,798,6369,5842,6841,6727,778,746,717,720,0
184,900,6404,5894,6797,6653,778,745,717,720,0
286,900,6408,5906,6792,6615,779,746,717,720,0
286,798,6409,5941,6767,6550,778,746,717,720,0
388,798,6395,5976,6766,6580,778,746,717,720,0
388,900,6408,5885,6815,6654,778,745,717,720,0
491,900,6352,5967,6746,6641,778,745,717,720,0
491,798,6442,5836,6792,6717,778,745,717,720,0
491,695,6479,5803,6783,6728,778,746,717,720,0
388,695,6478,5875,6719,6694,778,745,717,720,0
388,593,6475,5896,6663,6789,778,745,717,720,0
491,593,6524,5903,6656,6718,778,745,717,720,0
593,593,6518,5928,6646,6711,778,745,717,720,0
695,593,6480,5925,6653,6723,779,745,717,720,0
695,695,6501,5919,6657,6693,779,745,717,720,0
593,695,6478,5950,6621,6697,780,746,717,721,0
593,798,6484,5927,6637,6670,779,745,717,720,0
593,900,6476,5939,6628,6671,779,746,717,720,0
695,900,6484,5907,6634,6712,779,745,717,720,0
695,798,6511,5886,6669,6749,779,745,717,720,0
798,798,6468,5922,6654,6723,779,746,717,720,0
798,900,6402,5964,6645,6721,779,745,717,720,0
900,900,6417,5976,6633,6713,779,746,717,720,0
900,798,6433,6051,6575,6661,779,745,717,720,0
900,695,6488,6059,6625,6530,779,746,717,720,0
798,695,6437,6065,6559,6605,778,746,717,720,0
798,593,6441,6086,6544,6592,778,746,717,720,0
900,593,6429,6098,6518,6610,778,746,717,720,0
900,491,6432,6082,6524,6606,779,746,717,720,0
900,388,6436,6060,6575,6579,778,746,717,720,0
798,388,6442,6057,6589,6610,779,746,717,720,0
798,491,6441,6043,6605,6574,780,746,717,720,0
695,491,6430,6058,6609,6617,779,745,717,720,0
593,491,6429,6017,6638,6649,779,746,717,720,0
593,388,6431,5991,6660,6653,780,745,717,720,0
695,388,6440,5993,6648,6685,779,745,717,720,0
695,286,6446,5948,6668,6687,779,745,717,720,0
593,286,6383,6029,6572,6721,779,745,717,720,0
593,184,6451,5962,6627,6688,779,745,718,720,0
695,184,6481,5993,6581,6646,780,745,717,720,0
798,184,6510,6008,6526,6711,780,746,717,720,0
798,286,6532,6002,6538,6701,780,746,717,720,0
900,286,6484,6098,6454,6705,780,746,717,720,0
900,184,6543,6032,6492,6721,779,746,717,720,0
1002,184,6532,6002,6483,6690,779,746,717,720,0
1105,184,6549,6030,6453,6666,779,745,717,720,0
1105,286,6528,6079,6413,6649,778,745,717,720,0
1002,286,6502,6120,6375,6667,778,745,717,721,0
1002,388,6489,6135,6363,6645,778,745,717,720,0
1002,491,6566,6102,6432,6611,778,745,717,720,0
1105,491,6538,6121,6436,6550,778,745,717,720,0
1105,388,6475,6131,6448,6572,778,746,717,720,0
1207,388,6455,6098,6470,6609,778,745,717,720,0
1207,491,6441,6094,6482,6593,778,746,717,720,0
1309,491,6447,6140,6434,6620,778,745,717,720,0
1309,388,6442,6166,6421,6551,777,745,717,720,0
1309,286,6464,6158,6385,6593,778,745,717,720,0
1207,286,6470,6238,6299,6554,778,746,717,720,0
1207,184,6495,6256,6311,6456,778,746,717,720,0
1309,184,6526,6246,6334,6420,778,745,717,720,0
1412,184,6530,6250,6314,6467,778,746,717,720,0
1412,286,6499,6282,6290,6473,779,746,717,721,0
1514,286,6519,6241,6308,6536,778,746,717,720,0
1514,184,6494,6215,6308,6538,778,746,717,720,0
1616,184,6474,6255,6234,6571,778,746,717,720,0
1719,184,6562,6206,6267,6560,778,745,717,720,0
1719,286,6518,6331,6105,6568,778,746,717,720,0
1616,286,6565,6286,6151,6544,778,745,717,720,0
1616,388,6546,6355,6068,6478,778,745,717,720,0
1719,388,6495,6389,6006,6472,779,746,717,720,0
1719,491,6461,6435,5990,6478,778,745,717,720,0
1616,491,6488,6392,6072,6500,778,746,717,720,0
1514,491,6500,6351,6190,6449,778,746,717,720,0
1514,388,6445,6330,6201,6526,779,746,717,721,0
1412,388,6488,6229,6312,6486,779,746,717,720,0
1412,491,6498,6185,6380,6530,778,746,717,720,0
1412,593,6449,6197,6364,6543,778,746,717,720,0
1412,695,6463,6179,6389,6529,778,746,717,720,0
1514,695,6471,6235,6300,6578,779,746,717,720,0
1514,593,6474,6228,6282,6554,778,746,717,720,0
1616,593,6426,6329,6185,6524,778,745,717,720,0
1719,593,6507,6313,6192,6479,778,745,717,720,0
1719,695,6502,6346,6147,6469,779,745,717,720,0
1616,695,6483,6389,6076,6484,778,745,717,720,0
1616,798,6557,6370,6122,6444,778,745,717,720,0
1719,798,6575,6322,6191,6428,778,746,717,720,0
1719,900,6520,6375,6104,6507,778,746,718,720,0
1616,900,6531,6295,6153,6550,778,745,717,720,0
1514,900,6526,6281,6201,6555,778,746,717,720,0
1514,798,6529,6295,6227,6510,778,746,717,720,0
1412,798,6602,6221,6278,6548,778,745,717,720,0
1412,900,6525,6243,6216,6581,778,746,717,720,0
1309,900,6540,6258,6267,6493,778,746,718,720,0
1207,900,6507,6271,6254,6500,778,745,717,720,0
1207,798,6491,6239,6268,6502,779,746,717,720,0
1309,798,6514,6252,6293,6484,778,746,717,720,0
1309,695,6555,6197,6350,6498,778,746,717,721,0
1309,593,6478,6228,6318,6528,778,745,717,720,0
1207,593,6559,6157,6391,6486,778,745,717,720,0
1207,695,6551,6170,6346,6521,778,746,717,720,0
1105,695,6532,6195,6331,6525,778,746,717,720,0
1105,593,6572,6167,6367,6495,778,746,717,721,0
1002,593,6541,6177,6369,6494,778,745,717,720,0
1002,695,6528,6103,6433,6582,778,745,717,720,0
1002,798,6498,6094,6447,6565,778,745,717,720,0
1105,798,6521,6064,6497,6521,778,746,718,721,0
1105,900,6454,6122,6450,6611,778,746,717,720,0
1002,900,6555,6091,6521,6500,778,746,717,720,0
1002,1002,6492,6129,6407,6599,778,745,717,721,0
1105,1002,6485,6123,6399,6604,778,745,717,720,0
1105,1105,6512,6077,6429,6616,778,746,717,720,0
1002,1105,6523,6091,6399,6618,777,745,717,720,0
1002,1207,6596,6079,6421,6582,778,746,717,720,0
1002,1309,6542,6142,6395,6532,778,746,717,720,0
1105,1309,6478,6203,6343,6534,778,746,717,720,0
1105,1207,6542,6100,6410,6601,778,745,717,720,0
1207,1207,6510,6119,6388,6620,778,745,717,720,0
1207,1309,6522,6135,6379,6618,778,745,717,720,0
1309,1309,6521,6156,6376,6558,778,745,717,720,0
1309,1207,6559,6176,6360,6532,778,746,717,720,0
1309,1105,6656,6148,6371,6492,778,745,717,720,0
1207,1105,6525,6227,6276,6588,778,745,717,720,0
1207,1002,6488,6245,6236,6588,779,745,717,720,0
1309,1002,6562,6229,6324,6466,778,746,717,720,0
1412,1002,6511,6259,6307,6462,779,746,717,720,0
1412,1105,6511,6231,6336,6454,779,746,717,721,0
1514,1105,6511,6255,6362,6396,778,745,717,720,0
1514,1002,6537,6244,6380,6394,779,746,716,720,0
1616,1002,6510,6261,6326,6445,778,746,717,720,0
1719,1002,6480,6318,6227,6493,778,745,717,720,0
1719,1105,6507,6317,6189,6459,778,745,717,720,0
1616,1105,6513,6317,6158,6456,779,746,718,721,0
1616,1207,6490,6373,6108,6435,779,746,717,720,0
1719,1207,6485,6385,6078,6477,779,746,717,720,0
1719,1309,6491,6373,6104,6446,778,746,717,720,0
1616,1309,6458,6375,6115,6427,779,745,717,720,0
1514,1309,6494,6343,6174,6418,778,746,717,720,0
1514,1207,6444,6371,6179,6482,778,745,717,720,0
1412,1207,6528,6256,6308,6462,778,746,717,720,0
1412,1309,6518,6262,6292,6506,778,745,717,720,0
1412,1412,6538,6219,6285,6559,778,746,717,720,0
1412,1514,6482,6189,6263,6590,779,746,717,720,0
1514,1514,6514,6201,6249,6610,778,746,717,720,0
1514,1412,6532,6238,6230,6608,778,746,717,720,0
1616,1412,6483,6315,6140,6558,779,746,718,721,0
1719,1412,6624,6263,6222,6470,778,745,717,720,0
1719,1514,6584,6310,6152,6481,778,745,717,720,0
1616,1514,6550,6371,6086,6476,778,745,716,720,0
1616,1616,6539,6379,6078,6487,778,746,717,720,0
1719,1616,6521,6307,6127,6501,778,745,717,720,0
1719,1719,6537,6291,6148,6491,778,746,717,720,0
1616,1719,6550,6305,6198,6453,778,745,717,720,0
1514,1719,6476,6303,6190,6519,778,745,717,720,0
1514,1616,6493,6271,6251,6518,778,746,717,720,0
1412,1616,6492,6249,6278,6506,778,745,717,720,0
1412,1719,6577,6219,6371,6389,778,745,717,720,0
1309,1719,6433,6262,6269,6479,778,746,717,720,0
1207,1719,6494,6229,6353,6452,779,746,717,720,0
1207,1616,6478,6223,6357,6441,778,746,717,721,0
1309,1616,6479,6287,6361,6340,778,745,717,720,0
1309,1514,6425,6267,6309,6475,778,745,717,720,0
1309,1412,6427,6270,6319,6447,778,746,717,720,0
1207,1412,6461,6218,6320,6556,778,745,717,720,0
1207,1514,6481,6229,6295,6544,778,746,717,720,0
1105,1514,6547,6170,6384,6499,778,745,717,720,0
1105,1412,6544,6182,6354,6524,778,745,717,720,0
1002,1412,6493,6184,6323,6591,778,746,717,720,0
1002,1514,6495,6145,6356,6631,778,746,717,720,0
1002,1616,6486,6114,6387,6644,778,745,717,720,0
1105,1616,6553,6109,6471,6517,777,746,717,720,0
1105,1719,6464,6181,6376,6597,778,746,717,721,0
1002,1719,6503,6131,6414,6604,777,746,717,720,0
900,1719,6515,6142,6427,6600,778,746,717,720,0
900,1616,6479,6166,6389,6598,778,745,717,720,0
798,1616,6539,6155,6457,6531,777,745,717,720,0
798,1719,6529,6122,6465,6548,778,746,717,720,0
695,1719,6475,6087,6492,6572,778,745,717,720,0
593,1719,6492,5997,6607,6540,778,746,717,720,0
593,1616,6475,6015,6633,6524,779,745,717,720,0
695,1616,6370,5985,6671,6629,779,745,717,720,0
695,1514,6387,5972,6709,6643,779,746,717,720,0
593,1514,6386,6006,6702,6622,779,746,717,720,0
593,1412,6397,5953,6726,6628,779,746,717,720,0
695,1412,6438,5993,6664,6656,779,745,717,720,0
798,1412,6461,6055,6562,6642,779,745,717,720,0
798,1514,6493,5994,6559,6639,779,745,717,720,0
900,1514,6523,6007,6531,6630,778,746,717,720,0
900,1412,6518,6102,6452,6599,778,745,717,720,0
900,1309,6523,6096,6424,6568,777,746,717,720,0
798,1309,6499,6094,6428,6560,778,746,718,720,0
798,1207,6543,6117,6511,6494,778,746,717,720,0
900,1207,6463,6085,6492,6593,778,745,717,720,0
900,1105,6437,6088,6491,6664,779,745,717,720,0
900,1002,6492,6007,6553,6661,779,745,717,720,0
798,1002,6532,5971,6594,6619,779,746,717,720,0
798,1105,6496,6003,6564,6685,779,746,717,720,0
695,1105,6504,5967,6546,6648,779,745,717,720,0
695,1002,6435,6022,6503,6661,779,745,717,720,0
593,1002,6443,6047,6531,6600,779,746,717,720,0
593,1105,6410,6027,6570,6577,778,746,717,720,0
593,1207,6399,6101,6551,6512,778,745,717,720,0
695,1207,6450,6063,6607,6474,779,746,717,720,0
695,1309,6406,6002,6649,6606,779,745,717,720,0
593,1309,6398,5951,6677,6649,779,745,717,720,0
491,1309,6402,5915,6691,6673,779,745,717,720,0
388,1309,6439,5900,6689,6649,778,746,717,720,0
388,1207,6403,5940,6685,6628,779,746,717,720,0
491,1207,6434,5950,6686,6636,778,746,717,720,0
491,1105,6498,5918,6738,6561,778,746,717,720,0
491,1002,6457,5945,6731,6564,778,746,717,720,0
388,1002,6492,5911,6740,6611,778,746,717,720,0
388,1105,6454,5914,6733,6636,778,746,717,720,0
286,1105,6485,5913,6710,6638,778,746,717,720,0
286,1002,6490,5925,6695,6648,778,745,717,720,0
184,1002,6497,5866,6738,6689,778,746,717,721,0
184,1105,6476,5789,6790,6746,779,746,717,720,0
184,1207,6472,5779,6793,6784,778,745,717,720,0
286,1207,6494,5791,6812,6770,779,746,717,720,0
286,1309,6449,5762,6833,6734,779,745,717,720,0
184,1309,6451,5765,6857,6736,779,746,717,720,0
184,1412,6475,5824,6828,6701,779,745,717,720,0
184,1514,6445,5810,6794,6773,778,745,717,720,0
286,1514,6479,5784,6816,6759,778,745,717,720,0
286,1412,6454,5804,6783,6742,778,745,717,720,0
388,1412,6484,5840,6773,6661,778,745,717,720,0
491,1412,6483,5878,6731,6669,778,746,717,720,0
491,1514,6476,5907,6704,6712,778,745,717,720,0
388,1514,6467,5913,6697,6643,778,746,717,720,0
388,1616,6446,5909,6722,6680,778,746,717,720,0
491,1616,6463,5912,6732,6616,778,746,717,720,0
491,1719,6443,5907,6733,6619,778,745,717,720,0
388,1719,6441,5897,6778,6636,778,746,717,720,0
286,1719,6382,5866,6806,6684,778,746,717,720,0
286,1616,6387,5854,6837,6667,778,746,717,720,0
184,1616,6390,5829,6852,6688,778,746,717,721,0
184,1719,6359,5824,6867,6665,778,746,717,720,0
184,1821,6338,5845,6851,6680,778,745,717,720,0
286,1821,6295,5942,6808,6588,778,746,717,720,0
286,1924,6389,5839,6885,6648,779,746,717,720,0
184,1924,6395,5884,6832,6656,778,745,717,720,0
184,2026,6360,5843,6822,6699,778,745,717,720,0
184,2128,6399,5797,6835,6745,778,746,717,720,0
286,2128,6421,5804,6803,6751,778,746,717,720,0
286,2026,6428,5805,6774,6748,778,746,717,720,0
388,2026,6491,5779,6809,6747,777,745,716,720,0
388,2128,6437,5814,6768,6755,778,745,717,720,0
491,2128,6448,5835,6748,6706,778,745,717,720,0
491,2026,6444,5911,6687,6669,778,746,717,721,0
491,1924,6483,5906,6705,6708,778,746,717,720,0
388,1924,6485,5885,6691,6681,777,745,717,720,0
388,1821,6493,5910,6688,6691,778,746,717,720,0
491,1821,6491,5868,6701,6688,778,745,717,720,0
593,1821,6516,5873,6745,6684,778,745,717,720,0
593,1924,6449,5884,6738,6676,778,746,717,720,0
695,1924,6435,5969,6718,6618,779,746,717,720,0
695,1821,6416,5932,6718,6651,779,745,717,720,0
798,1821,6438,5945,6727,6619,779,745,717,720,0
900,1821,6452,6016,6652,6571,780,745,717,720,0
900,1924,6450,6029,6608,6559,779,746,717,720,0
798,1924,6443,6023,6582,6566,778,745,717,720,0
798,2026,6474,6060,6554,6559,778,746,718,721,0
900,2026,6459,6052,6535,6590,778,746,717,721,0
900,2128,6413,6074,6534,6554,778,746,717,721,0
798,2128,6396,6054,6557,6575,778,746,717,720,0
695,2128,6433,6054,6624,6531,779,745,717,720,0
695,2026,6405,6010,6671,6595,779,745,717,720,0
593,2026,6387,5982,6702,6643,779,745,717,720,0
593,2128,6311,6015,6664,6655,779,746,717,720,0
593,2231,6409,5945,6727,6646,778,746,717,720,0
593,2333,6411,5934,6717,6671,778,746,717,720,0
695,2333,6416,5903,6701,6673,778,745,717,720,0
695,2231,6406,5928,6668,6690,779,745,717,720,0
798,2231,6476,5953,6638,6626,779,745,717,720,0
900,2231,6466,6011,6553,6630,780,746,718,721,0
900,2333,6560,6010,6614,6540,779,746,717,720,0
798,2333,6457,6064,6506,6597,778,746,717,720,0
798,2435,6459,6073,6490,6617,778,745,717,720,0
900,2435,6462,6027,6523,6639,778,746,717,720,0
900,2538,6547,5969,6605,6591,779,746,717,720,0
798,2538,6487,5995,6567,6563,779,745,717,720,0
695,2538,6432,5993,6604,6671,779,745,717,720,0
695,2435,6415,5940,6671,6708,779,746,717,720,0
593,2435,6409,5943,6711,6629,779,746,717,720,0
593,2538,6353,5969,6695,6659,779,746,717,720,0
491,2538,6410,5964,6758,6539,778,745,717,720,0
388,2538,6356,5958,6737,6597,779,746,717,720,0
388,2435,6359,5959,6749,6601,779,745,716,720,0
491,2435,6398,5916,6787,6641,778,745,717,720,0
491,2333,6398,5922,6782,6603,778,746,717,720,0
491,2231,6417,5905,6797,6600,778,746,717,721,0
388,2231,6445,5877,6777,6649,778,745,717,720,0
388,2333,6469,5906,6745,6624,778,746,717,720,0
286,2333,6442,5915,6731,6671,778,746,717,720,0
286,2231,6439,5930,6742,6630,778,746,717,720,0
184,2231,6433,5898,6761,6690,778,746,717,720,0
184,2333,6438,5843,6804,6715,778,746,717,720,0
184,2435,6445,5833,6822,6731,778,745,717,720,0
286,2435,6440,5827,6862,6702,778,745,717,720,0
286,2538,6456,5802,6888,6670,779,745,717,720,0
184,2538,6469,5787,6876,6668,779,746,717,720,0
184,2640,6449,5835,6822,6705,779,745,717,720,0
184,2742,6405,5844,6801,6733,778,745,717,720,0
286,2742,6452,5845,6826,6705,778,745,717,720,0
286,2640,6426,5877,6788,6687,778,745,717,720,0
388,2640,6437,5847,6806,6688,778,746,717,720,0
491,2640,6420,5863,6783,6697,778,746,717,720,0
491,2742,6448,5872,6781,6621,778,746,717,720,0
388,2742,6407,5925,6737,6600,778,746,717,720,0
388,2845,6428,5980,6722,6552,778,746,717,720,0
491,2845,6402,5958,6733,6571,778,745,717,720,0
491,2947,6458,5902,6795,6561,778,745,717,720,0
388,2947,6400,5917,6792,6628,778,745,717,720,0
286,2947,6397,5871,6816,6691,778,745,717,720,0
286,2845,6387,5836,6857,6666,778,746,717,720,0
184,2845,6418,5816,6889,6641,778,745,717,720,0
184,2947,6357,5830,6899,6653,777,745,717,720,0
184,3049,6402,5838,6922,6608,778,746,717,720,0
286,3049,6389,5823,6924,6647,778,746,717,720,0
286,3152,6422,5825,6931,6646,778,747,717,720,0
184,3152,6382,5926,6863,6524,778,745,717,720,0
184,3254,6326,5900,6811,6683,778,745,717,720,0
184,3357,6409,5856,6838,6699,778,746,717,720,0
286,3357,6454,5820,6842,6711,778,745,717,720,0
286,3254,6433,5851,6808,6676,778,746,717,720,0
